이름,작가/그림,장르,요일,추천수,별점(총),별점(화),총화수,댓글,줄거리,이미지,플랫폼,첫화링크,업데이트
절대검감,,"액션,무협",월,291,"[4.0, 87]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.7, 4.7, 4.6, 4.6, 4.6, 4.6, 4.6, 4.5, 4.5, 4.4, 4.1, 4.1, 4.1]",78,"['a', 'b', 'c']","단전이 부숴졌다는 이유로 집에서는 내놓은 자식 취급을 받던 소운휘는 혈교에 납치되어서도 삼류 첩자로 살아왔다. 어느 날, 전설로만 알려진 검선비록을 찾는데 이용당하다 죽은 운휘는 10년 전, 혈교에 납치되던 그 날로 돌아가게 되고 검의 목소리를 듣는 신비한 능력을 얻는다.",src/img/절대검감.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2022-06-19 00:00:00')]"
마왕을 그만둔 이유,,"판타지,액션",월,65,"[2.2, 51]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.5, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.6, 1.6, 0.0]",16,"['a', 'b', 'c']",혼돈의 시대. 마왕은 665세기 동안 대를 걸쳐 인간 세계를 침공했다. 그 처절한 전쟁을 막아 낸 것은 용사들. 그들의 거룩한 희생 속에서 인류는 간신히 살아남았다. 하지만 이건 새로운 마왕의 이야기.,src/img/마왕을그만둔이유.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2024-01-29 00:00:00')]"
개같이 탈출,,"개그,일상",월,18,"[3.0, 24]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 2.3, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",36,"['a', 'b', 'c']","""살아남으라고? 나는 자그만 말티즈란 말이야!"" 세상 따뜻하고 포근한 가정집에서 살아온 삐용이. 언니 품에서 그저 귀엽기만 하면 되는 견생이었는데... 갑자기 가족들과 모든 인간이 사라져버렸다. 혼자서는 아무것도 할 줄 모르는데, 괴물 좀비 개들이 우글거리는 고립된 도시를 탈출해 언니를 만날 수 있을까?",src/img/개같이탈출.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-09-03 00:00:00')]"
신의탑,,"판타지,액션,한국",월,372,"[2.8, 117]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9, 4.9, 4.9, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.7, 4.7, 4.7, 4.7, 4.6, 4.6, 4.6, 4.6, 4.6, 4.5, 4.4, 4.3, 4.3, 4.3, 4.2, 4.1, 4.0, 4.0, 4.0, 4.0, 4.0, 3.9, 3.9, 3.9, 3.8, 3.8, 3.7, 3.7, 3.7, 3.7, 3.7, 3.6, 3.6, 3.6, 3.5, 3.5, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.3, 3.3, 3.3, 3.3, 3.3, 3.2, 3.2, 3.2, 3.1, 3.0, 3.0, 3.0, 3.0, 3.0, 2.9, 2.9, 2.9, 2.9, 2.9, 2.7, 2.7, 2.7, 2.7, 2.7, 2.6, 2.6, 2.6, 2.5, 2.5, 2.5, 2.5, 2.4, 2.4, 2.4, 2.4, 2.4, 2.4, 2.4, 2.4, 2.3, 2.3, 2.2, 2.2, 2.2, 2.2, 2.1, 2.1, 2.1, 2.0, 2.0, 2.0, 2.0, 2.0, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.6, 1.5, 1.4, 1.3, 1.3, 1.3, 1.2, 1.2, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",628,"['a', 'b', 'c']",자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년 그리고 그런 소년을 시험하는 탑,src/img/신의탑.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2018-04-26 00:00:00')]"
회귀한 공작가의 막내도련님은 암살자,,"판타지,액션",월,174,"[4.1, 47]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.8, 4.7, 4.7, 4.3, 4.2, 4.0, 3.6, 3.5, 3.3]",17,"['a', 'b', 'c']","대륙 제일의 암살자 시안 베르트 평생을 믿고 따랐던 형에게 배신당한 뒤, 비참한 최후를 맞이한다. 만약 내게 한 번 더 생이 주어진다면 그때는 다른 삶을 살 것이다. 오로지 나 하나만을 바라보면서, 내 스스로 모든 것을 이룰 수 있는 누구도 섬기지 않는 그런 삶을. 그렇게 맞이하게 된 두 번째 삶. 더 이상 남을 위해 살던 그림자 시안 베르트는 없다. 다시 쓰는 인생 나를 위한 모든 것을 이룩하리라!",src/img/회귀한공작가의막내도련님은암살자.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2024-02-25 00:00:00')]"
백작가 영애가 황제의 번견을 길들이는 방법,,"판타지,로맨스",월,10,"[1.7, 13]","[4.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"['a', 'b', 'c']",아버지로부터 정략결혼을 강요받고 있던 백작영애 에스메랄다. 스스로 운명의 반려를 찾고자 참가한 무도회에서 처음 만난 알폰스에게 연애를 제안한다. 알고 보니 그의 정체는 뒷세계의 사건들을 처리하고 있는 황제의 번견. 임무 수행에 이용하기 연애를 시작한 알폰스였지만 스스럼없이 돌진해오는 그녀에게 점차 마음이 쓰인다. 한편 일도 연애도 열심이었던 그녀는 블랙 저먼 아이리스의 음모의 한복판에 휘말리게 되는데…,src/img/백작가영애가황제의번견을길들이는방법.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2022-04-11 00:00:00')]"
"공작님, 우리 목욕합시다!",,"판타지,로맨스",월,81,"[4.3, 39]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 3.7, 3.7, 3.7, 3.7, 3.7, 0.0, 0.0, 0.0]",52,"['a', 'b', 'c']","위생이 불량한 중세 로판 세계의 공녀로 빙의한 여주가 목욕과 더불어 유일하게 청결한 공작의 마음까지 쟁취하는 판타지 로코물. 녹안 원작 공작가의 사랑받는 둘째 딸 ‘나디아 골드게이트’로 빙의한 주인공. 그러나 이 곳은 실제 중세 유럽의 위생이 너무나도 현실적으로 반영되는 소설 속이다. 나디아를 둘러싼 모든 이에게서 구린내가 나는 와중에, 어딘가 수상한 과거를 가졌지만 청결한 '클로드 카르테인' 공작이 나디아 앞에 나타난다. 모두 지저분한 이 세계에서 유일하게 목욕을 즐기는 남자라니, 절대 놓칠 수 없어! “사랑해요, 공작님! 나랑 결혼해서 하루에 목욕 두 번씩 해!” 하지만 공작은 그녀의 청혼을 거절하고, 설상가상으로 주변의 모든 이가 그녀의 목욕을 방해하는데… 과연 나디아는 공작의 사랑과 목욕을 모두 쟁취할 수 있을까?",src/img/공작님우리목욕합시다.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-05-01 00:00:00')]"
브로맨스 북클럽,,"로맨스,드라마",월,17,"[4.4, 14]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.7, 3.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",39,"['a', 'b', 'c']","잘 나가는 프로 야구 선수에 스포츠 잡지 커버를 장식할 정도의 훈훈한 외모. 이름하여 '갖고 싶은 남자', 개빈 스캇. 그래서 모든 게 쉬웠다. 단 하나, 아내의 마음을 얻는 것만 빼고. 당장 내일 이혼 당할 위기에 처한 개빈에게 운동팀 동료들이 은밀한 제안을 건넨다. ""너, 우리 북클럽에 들어와라."" 연애를 로판으로 배우려는 남자들의 좌충우돌 코믹 대활극이자 진정으로 사랑하는 법을 고민하는 이들을 위한 로맨틱한 안내서, <브로맨스 북클럽>",src/img/브로맨스북클럽.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-10-23 00:00:00')]"
저주는 끝나지 않았다,,"판타지,로맨스",월,61,"[4.6, 25]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.7, 4.5, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",52,"['a', 'b', 'c']","사랑하는 남자 헬리스를 위해, 그리고 자신을 위해 자신의 이복오빠이자 황제인 이안플리드를 죽이게 된 카네펠리아. 그 반동으로 저주에 걸리게 되어 8살로 회귀하게 된다. 돌아온 카네펠리아는 자신의 삶을 고통 속에 빠트렸던 이안플리드에게 다시 한 번 완벽한 복수를 준비하고, 더불어 이번 생에는 절대 헬리스와 엮이지 않음으로써 그에게 행복한 삶을 선사할 것을 다짐한다.",src/img/저주는끝나지않았다.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-11-13 00:00:00')]"
나를 찾지 말아요,,"판타지,로맨스",월,13,"[3.7, 13]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.5, 3.0, 0.0]",25,"['a', 'b', 'c']","정령을 보는 민족의 마지막 후손, 원수 집안의 후계자와 사랑에 빠지다! 정령의 힘을 다루는 유렌달 민족의 마지막 후손 유페미아. 그녀는 무정한 가족을 벗어나 페레디트 공작부인의 간병인이 되고, 그곳에서 만난 보좌관 시리우스와 사랑에 빠진다. 그런데, 시리우스가 사실 공작가의 외아들 카시어스 페레디트이자, 유렌달 민족을 몰살시킨 가문의 후계자라는 사실을 알게 되는데…. 원수 집안의 아들과 사랑을 이어갈 수 없는 그녀의 선택은?",src/img/나를찾지말아요.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-12-25 00:00:00')]"
귀여운 걸 어떡해,,"판타지,로맨스",월,66,"[2.8, 48]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.8, 4.6, 4.6, 4.5, 4.4, 4.3, 4.0, 4.0, 3.7, 3.7, 3.6, 3.5, 3.3, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",57,"['a', 'b', 'c']","도련님의 놀이 상대라고? 남자아이로 오해받은 채 살아 온 고아 로즈니. 어느 날 고아원에 찾아온 귀족님께 덜컥 선택받았다! 끔찍했던 고아원으로 돌아가지 않기 위해, 절대 여자인 걸 들키지 않겠다고 다짐했는데…! ""...여자아이잖아?"" 하루 만에 들키고 말았다! 이젠 어떻게 되는 걸까. 두려움에 벌벌 떨며 공작가 분들 앞에 선 순간. “너무 귀여워서 안 되겠소.” 오히려 상냥하게 맞아 주신다? 귀여운 걸 어떡해! 라는 이유로 눌러앉게 된 로즈니의 공작성 생활기!",src/img/귀여운걸어떡해.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-01-30 00:00:00')]"
더는 싫었다,,"판타지,로맨스",월,62,"[2.9, 39]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.8, 4.7, 4.7, 4.5, 4.0, 4.0, 4.0, 3.7, 3.5, 3.0, 3.0, 3.0, 3.0, 3.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",61,"['a', 'b', 'c']","절연을 석 달 앞둔 열일곱의 여름. 실종된 레너티 후작가의 첫째 딸, 내 ‘언니’ 라는 소녀가 돌아왔다. 저택의 모두가 그녀만을 사랑했지만, 나는 상관 없었다. 그런데… 종종 만난 자칭 하급 정령은 뜻밖의 이야기를 하지 않나, 내 ‘언니’라는 여자는 나를 보호하려 들고, 상호 거래로 계약한 공작은 손해를 자처한다. 그리고 다정한 소꿉친구와는 더 이상 단순한 친구관계가 아닐 것 같다.",src/img/더는싫었다.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-05-25 00:00:00')]"
시한부 연애 계약 (완전판),,"로맨스,드라마",월,8,"[2.3, 3]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",33,"['a', 'b', 'c']","폐암 4기 진단, 남은 시간은 일년이라는 시한부 선고. 일 밖에 몰랐던 소이는 버킷리스트를 작성한다. ""키 크고, 잘생기고, 매너 좋잖아. 내가 버킷리스트 같이 해 줄게."" 하늘 같은 직장 상사 도준의 계약 연애 제안에 얼레벌레 넘어간 소이는 그와 몸까지 섞게 되는데!",src/img/시한부연애계약완전판.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-11-27 00:00:00')]"
원작에 없는 인물로 태어났습니다,,"판타지,로맨스",월,90,"[3.7, 40]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.7, 4.5, 4.5, 4.5, 4.3, 4.0, 4.0, 4.0, 3.7, 3.5, 3.3, 3.0, 2.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0]",58,"['a', 'b', 'c']","죽음을 맞이하고 눈을 뜨니 전생에 자신이 쓴 소설 속에 없던 인물인 여주의 언니로 다시 태어난 탈레이아. 소설 속 세상에 정붙이기 위해 노력하지만 전부 자신이 만들어낸 것에 불과하다는 생각뿐이다. ""나랑 결혼 안 해줄 거야?"" 다섯 살 꼬꼬마 시절부터 탈레이아에게 청혼을 한, 원래대로면 탈레이아의 여동생을 사랑했어야 할 아이기스는 ""틸리가 나를 사랑하게 해주세요."" 성인이 되는 생일날 신에게 소원을 빈다. 어린아이의 한철 사랑으로 치부했던 아이기스의 고백이 탈레이아에게 성큼 다가오는데... 과연 탈레이아는 자신의 여동생을 사랑하도록 만든 아이기스의 소원을 이뤄줄 수 있을까?",src/img/원작에없는인물로태어났습니다.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2023-11-27 00:00:00')]"
절대역 [완전판],,"판타지,로맨스,성인",월,70,"[4.0, 14]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 2.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",25,"['a', 'b', 'c']","권력 있는 재력가 집안의 외동딸 최주미. 모든 것을 가진 듯 보이지만 제 뜻 대로 한 일 하나 없이 인형처럼 살아온 외로운 인생. 그리고 유독 시리고 긴 겨울, 그 남자를 만났다. 자비 없고 잔인하고 냉소적인 남자. 한국 최대 조폭 조직인 우성의 거물이자 후계자, 정윤교. 아버지의 명령으로 나온 맞선 자리에서 그를 기다리며 바랐다. 차라리 그가 이 자리에 나오지 않기를. ""도망갈 시간은 충분히 준 것 같은데."" 그때 도망쳤다면, 우리가 만나지 않았다면 이런 일은 없었을까. 하지만... 늘 절제된 얼굴. 저 얼굴이 무너지는 걸 보면 짜릿할 거 같은데. ""너도 이 불장난이 해보고 싶어?"" 순간의 호기심으로 시작된 불장난. 그저 그 뿐일 줄 알았는데... 하룻밤의 대가 치고는 너무도 가혹했다. ""나 없는 동안 또 누구랑 붙어먹었어. 여기 든 게 내 애가 맞냐고 묻고 있잖아."" 그날 밤의 비밀을 알아버린 그가 주미 앞에 나타나고 두 사람은 위험하다는 것을 알면서도 서로에게 강렬하게 이끌리고 마는데... 우연으로 시작해 필연으로 엮인 두 사람의 아슬아슬하면서도 뜨겁고, 뜨거우면서도 더티한 고수위 로맨스!",src/img/절대역완전판.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2024-01-01 00:00:00')]"
귀촌리,,"액션,미스터리",월,21,"[4.6, 9]","[5.0, 5.0, 5.0, 5.0, 1.0, 0.0, 0.0, 0.0, 0.0]",9,"['a', 'b', 'c']","평범한 시골 마을 '귀촌리'를 찾은 '허무명'. 그는 돌아가신 할머니의 빈 집에 조용히 숨어든다. 그런데 집이 이상하리만큼 깔끔하다. 할머니가 돌아가신 건 3년 전인데? 어쩐지 마을 사람들은 이방인 무명의 방문을 달가워 하는 것 같지 않다. 아니, 실은 경계하는 것 같다. 그리고 그 날을 기점으로 마을 사람들이 하나, 둘 씩 사라지기 시작한다.",src/img/귀촌리.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2024-03-18 00:00:00')]"
환생천마,,"판타지,무협",월,72,"[4.5, 31]","[5.0, 5.0, 5.0, 5.0, 4.8, 4.8, 4.8, 4.7, 4.6, 4.0, 4.0, 3.7]",12,"['a', 'b', 'c']","철혈의 맹주, 강호의 절대자 '천하진'. 가문의 수치라 불리는 망나니 '벽리단'의 몸으로 깨어나다! 취미는 사기도박, 검은 창고에 박아둔지 오래. 하루아침에 천하제일인에서 천하의 쓰레기가 된 그는 다시 검을 잡고, 전생에서 이루지 못한 경지에 오르고자 한다.",src/img/환생천마.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2024-03-17 00:00:00')]"
설산의 괴물 황녀,,"판타지,로맨스",월,40,"[4.0, 24]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",22,"['a', 'b', 'c']",발레리 벨로프는 어미의 죄로 얼어붙은 설산에 유배를 당한다. 그곳에서 과거 제국을 두려움에 떨게 한 괴물의 빙결 능력을 얻은 발레리는 19살 생일 스스로 죽음을 맞은 뒤 눈을 떠보니 9살의 어린 시절로 돌아온 것을 알게 된다. 과거와 달라지기 위해 발레리는 자신을 유배시킨 이복 오빠인 황제 밀러드를 만나고자 한다.,src/img/설산의괴물황녀.png,,,"[Timestamp('2024-04-07 00:00:00'), Timestamp('2024-02-25 00:00:00')]"
